County,Category,year,type,Prop,Proportion
Tana River,DPT2,2022,Vaccination,Proportion (2022),88.7
Tana River,DPT2,2022,Vaccination,Percentage change,-7.1
Tana River,DPT3,2022,Vaccination,Proportion (2022),80.8
Tana River,DPT3,2022,Vaccination,Percentage change,-11.3
Tana River,OPV,2022,Vaccination,Proportion (2022),80.1
Tana River,OPV,2022,Vaccination,Percentage change,47.8
Tana River,OPV1,2022,Vaccination,Proportion (2022),93.4
Tana River,OPV1,2022,Vaccination,Percentage change,-4
Tana River,OPV2,2022,Vaccination,Proportion (2022),85.8
Tana River,OPV2,2022,Vaccination,Percentage change,-9.3
Tana River,OPV3,2022,Vaccination,Proportion (2022),68.5
Tana River,OPV3,2022,Vaccination,Percentage change,-30.5
Tana River,FULL_VACCINATION,2022,Vaccination,Proportion (2022),39.2
Tana River,FULL_VACCINATION,2022,Vaccination,Percentage change,-79.1
Lamu,BCG,2022,Vaccination,Proportion (2022),98.6
Lamu,BCG,2022,Vaccination,Percentage change,4.5
Lamu,DPT1,2022,Vaccination,Proportion (2022),100
Lamu,DPT1,2022,Vaccination,Percentage change,0.7
Lamu,DPT2,2022,Vaccination,Proportion (2022),97.2
Lamu,DPT2,2022,Vaccination,Percentage change,0.2
Lamu,DPT3,2022,Vaccination,Proportion (2022),85.1
Lamu,DPT3,2022,Vaccination,Percentage change,0.5
Lamu,OPV,2022,Vaccination,Proportion (2022),93.7
Lamu,OPV,2022,Vaccination,Percentage change,33.7
Lamu,OPV1,2022,Vaccination,Proportion (2022),99
Lamu,OPV1,2022,Vaccination,Percentage change,-1
Lamu,OPV2,2022,Vaccination,Proportion (2022),98.2
Lamu,OPV2,2022,Vaccination,Percentage change,0.5
Lamu,OPV3,2022,Vaccination,Proportion (2022),76.5
Lamu,OPV3,2022,Vaccination,Percentage change,-23.1
Lamu,FULL_VACCINATION,2022,Vaccination,Proportion (2022),54.2
Lamu,FULL_VACCINATION,2022,Vaccination,Percentage change,-24.4
Taita Taveta,BCG,2022,Vaccination,Proportion (2022),98.4
Taita Taveta,BCG,2022,Vaccination,Percentage change,0
Taita Taveta,DPT1,2022,Vaccination,Proportion (2022),98.4
Taita Taveta,DPT1,2022,Vaccination,Percentage change,0
Taita Taveta,DPT2,2022,Vaccination,Proportion (2022),95.5
Taita Taveta,DPT2,2022,Vaccination,Percentage change,-3
Taita Taveta,DPT3,2022,Vaccination,Proportion (2022),85.8
Taita Taveta,DPT3,2022,Vaccination,Percentage change,-13.6
Taita Taveta,OPV,2022,Vaccination,Proportion (2022),94.9
Taita Taveta,OPV,2022,Vaccination,Percentage change,8.2
Taita Taveta,OPV1,2022,Vaccination,Proportion (2022),97.4
Taita Taveta,OPV1,2022,Vaccination,Percentage change,-2.7
Taita Taveta,OPV2,2022,Vaccination,Proportion (2022),95.4
Taita Taveta,OPV2,2022,Vaccination,Percentage change,-4.8
Taita Taveta,OPV3,2022,Vaccination,Proportion (2022),81.3
Taita Taveta,OPV3,2022,Vaccination,Percentage change,-19.9
Taita Taveta,FULL_VACCINATION,2022,Vaccination,Proportion (2022),65.4
Taita Taveta,FULL_VACCINATION,2022,Vaccination,Percentage change,-35.8
Garissa,BCG,2022,Vaccination,Proportion (2022),63.2
Garissa,BCG,2022,Vaccination,Percentage change,-27.1
Garissa,DPT1,2022,Vaccination,Proportion (2022),63.3
Garissa,DPT1,2022,Vaccination,Percentage change,-49.1
Garissa,DPT2,2022,Vaccination,Proportion (2022),40.8
Garissa,DPT2,2022,Vaccination,Percentage change,-130.1
Garissa,DPT3,2022,Vaccination,Proportion (2022),36.4
Garissa,DPT3,2022,Vaccination,Percentage change,-151.6
Garissa,OPV,2022,Vaccination,Proportion (2022),51.5
Garissa,OPV,2022,Vaccination,Percentage change,3.3
Garissa,OPV1,2022,Vaccination,Proportion (2022),63
Garissa,OPV1,2022,Vaccination,Percentage change,-49.8
Garissa,OPV2,2022,Vaccination,Proportion (2022),56
Garissa,OPV2,2022,Vaccination,Percentage change,-57.5
Garissa,OPV3,2022,Vaccination,Proportion (2022),35.2
Garissa,OPV3,2022,Vaccination,Percentage change,-138.9
Garissa,FULL_VACCINATION,2022,Vaccination,Proportion (2022),16.9
Garissa,FULL_VACCINATION,2022,Vaccination,Percentage change,-242.6
Wajir,BCG,2022,Vaccination,Proportion (2022),94.7
Wajir,BCG,2022,Vaccination,Percentage change,3.9
Wajir,DPT1,2022,Vaccination,Proportion (2022),94.6
Wajir,DPT1,2022,Vaccination,Percentage change,4
Wajir,DPT2,2022,Vaccination,Proportion (2022),83.3
Wajir,DPT2,2022,Vaccination,Percentage change,-3.5
Wajir,DPT3,2022,Vaccination,Proportion (2022),66.5
Wajir,DPT3,2022,Vaccination,Percentage change,-18.9
Wajir,OPV,2022,Vaccination,Proportion (2022),47.9
Wajir,OPV,2022,Vaccination,Percentage change,18.2
Wajir,OPV1,2022,Vaccination,Proportion (2022),93.7
Wajir,OPV1,2022,Vaccination,Percentage change,2.1
Wajir,OPV2,2022,Vaccination,Proportion (2022),81.1
Wajir,OPV2,2022,Vaccination,Percentage change,-7.8
Wajir,OPV3,2022,Vaccination,Proportion (2022),58
Wajir,OPV3,2022,Vaccination,Percentage change,-32.8
Wajir,FULL_VACCINATION,2022,Vaccination,Proportion (2022),19.2
Wajir,FULL_VACCINATION,2022,Vaccination,Percentage change,-157.8
Mandera,BCG,2022,Vaccination,Proportion (2022),63.2
Mandera,BCG,2022,Vaccination,Percentage change,-13.6
Mandera,DPT1,2022,Vaccination,Proportion (2022),63.8
Mandera,DPT1,2022,Vaccination,Percentage change,-7.1
Mandera,DPT2,2022,Vaccination,Proportion (2022),52.2
Mandera,DPT2,2022,Vaccination,Percentage change,-8.2
Mandera,DPT3,2022,Vaccination,Proportion (2022),43.8
Mandera,DPT3,2022,Vaccination,Percentage change,-11.4
Mandera,OPV,2022,Vaccination,Proportion (2022),35.1
Mandera,OPV,2022,Vaccination,Percentage change,10.8
Mandera,OPV1,2022,Vaccination,Proportion (2022),62
Mandera,OPV1,2022,Vaccination,Percentage change,-15.8
Mandera,OPV2,2022,Vaccination,Proportion (2022),59.2
Mandera,OPV2,2022,Vaccination,Percentage change,-1.5
Mandera,OPV3,2022,Vaccination,Proportion (2022),38.9
Mandera,OPV3,2022,Vaccination,Percentage change,-34.4
Mandera,FULL_VACCINATION,2022,Vaccination,Proportion (2022),5.6
Mandera,FULL_VACCINATION,2022,Vaccination,Percentage change,-662.5
Marsabit,BCG,2022,Vaccination,Proportion (2022),94.8
Marsabit,BCG,2022,Vaccination,Percentage change,2.3
Marsabit,DPT1,2022,Vaccination,Proportion (2022),93.2
Marsabit,DPT1,2022,Vaccination,Percentage change,-3.4
Marsabit,DPT2,2022,Vaccination,Proportion (2022),89.7
Marsabit,DPT2,2022,Vaccination,Percentage change,-4.1
Marsabit,DPT3,2022,Vaccination,Proportion (2022),84.7
Marsabit,DPT3,2022,Vaccination,Percentage change,-1.2
Marsabit,OPV,2022,Vaccination,Proportion (2022),75.9
Marsabit,OPV,2022,Vaccination,Percentage change,45.7
Marsabit,OPV1,2022,Vaccination,Proportion (2022),92.1
Marsabit,OPV1,2022,Vaccination,Percentage change,-7.5
Marsabit,OPV2,2022,Vaccination,Proportion (2022),86.3
Marsabit,OPV2,2022,Vaccination,Percentage change,-10.8
Marsabit,OPV3,2022,Vaccination,Proportion (2022),52.9
Marsabit,OPV3,2022,Vaccination,Percentage change,-66.9
Marsabit,FULL_VACCINATION,2022,Vaccination,Proportion (2022),19.3
Marsabit,FULL_VACCINATION,2022,Vaccination,Percentage change,-249.7
Isiolo,BCG,2022,Vaccination,Proportion (2022),97.1
Isiolo,BCG,2022,Vaccination,Percentage change,0.7
Isiolo,DPT1,2022,Vaccination,Proportion (2022),96.8
Isiolo,DPT1,2022,Vaccination,Percentage change,-1.9
Isiolo,DPT2,2022,Vaccination,Proportion (2022),94.2
Isiolo,DPT2,2022,Vaccination,Percentage change,-2.4
Isiolo,DPT3,2022,Vaccination,Proportion (2022),88.7
Isiolo,DPT3,2022,Vaccination,Percentage change,-6.4
Isiolo,OPV,2022,Vaccination,Proportion (2022),84.3
Isiolo,OPV,2022,Vaccination,Percentage change,14.6
Isiolo,OPV1,2022,Vaccination,Proportion (2022),86.7
Isiolo,OPV1,2022,Vaccination,Percentage change,-13.7
Isiolo,OPV2,2022,Vaccination,Proportion (2022),81.4
Isiolo,OPV2,2022,Vaccination,Percentage change,-17.8
Isiolo,OPV3,2022,Vaccination,Proportion (2022),59.4
Isiolo,OPV3,2022,Vaccination,Percentage change,-57.7
Isiolo,FULL_VACCINATION,2022,Vaccination,Proportion (2022),37.1
Isiolo,FULL_VACCINATION,2022,Vaccination,Percentage change,-121.8
Meru,BCG,2022,Vaccination,Proportion (2022),100
Meru,BCG,2022,Vaccination,Percentage change,0.8
Meru,DPT1,2022,Vaccination,Proportion (2022),98.3
Meru,DPT1,2022,Vaccination,Percentage change,-1.7
Meru,DPT2,2022,Vaccination,Proportion (2022),96.3
Meru,DPT2,2022,Vaccination,Percentage change,-3.8
Meru,DPT3,2022,Vaccination,Proportion (2022),92.3
Meru,DPT3,2022,Vaccination,Percentage change,-1.4
Meru,OPV,2022,Vaccination,Proportion (2022),90.8
Meru,OPV,2022,Vaccination,Percentage change,24
Meru,OPV1,2022,Vaccination,Proportion (2022),96.9
Meru,OPV1,2022,Vaccination,Percentage change,-3.2
Meru,OPV2,2022,Vaccination,Proportion (2022),89.5
Meru,OPV2,2022,Vaccination,Percentage change,-11.7
Meru,OPV3,2022,Vaccination,Proportion (2022),79.1
Meru,OPV3,2022,Vaccination,Percentage change,-16.8
Meru,FULL_VACCINATION,2022,Vaccination,Proportion (2022),57.9
Meru,FULL_VACCINATION,2022,Vaccination,Percentage change,-44.9
Tharaka Nithi,BCG,2022,Vaccination,Proportion (2022),100
Tharaka Nithi,BCG,2022,Vaccination,Percentage change,0
Tharaka Nithi,DPT1,2022,Vaccination,Proportion (2022),100
Tharaka Nithi,DPT1,2022,Vaccination,Percentage change,1.7
Tharaka Nithi,DPT2,2022,Vaccination,Proportion (2022),98
Tharaka Nithi,DPT2,2022,Vaccination,Percentage change,-0.3
Tharaka Nithi,DPT3,2022,Vaccination,Proportion (2022),96.3
Tharaka Nithi,DPT3,2022,Vaccination,Percentage change,-0.5
Tharaka Nithi,OPV,2022,Vaccination,Proportion (2022),95.6
Tharaka Nithi,OPV,2022,Vaccination,Percentage change,0.3
Tharaka Nithi,OPV1,2022,Vaccination,Proportion (2022),100
Tharaka Nithi,OPV1,2022,Vaccination,Percentage change,0
Tharaka Nithi,OPV2,2022,Vaccination,Proportion (2022),98
Tharaka Nithi,OPV2,2022,Vaccination,Percentage change,-2
Tharaka Nithi,OPV3,2022,Vaccination,Proportion (2022),91.9
Tharaka Nithi,OPV3,2022,Vaccination,Percentage change,-7
Tharaka Nithi,FULL_VACCINATION,2022,Vaccination,Proportion (2022),82.1
Tharaka Nithi,FULL_VACCINATION,2022,Vaccination,Percentage change,-16.1
Embu,BCG,2022,Vaccination,Proportion (2022),100
Embu,BCG,2022,Vaccination,Percentage change,0
Embu,DPT1,2022,Vaccination,Proportion (2022),100
Embu,DPT1,2022,Vaccination,Percentage change,0
Embu,DPT2,2022,Vaccination,Proportion (2022),100
Embu,DPT2,2022,Vaccination,Percentage change,0
Embu,DPT3,2022,Vaccination,Proportion (2022),97.2
Embu,DPT3,2022,Vaccination,Percentage change,-2.1
Embu,OPV,2022,Vaccination,Proportion (2022),100
Embu,OPV,2022,Vaccination,Percentage change,10.1
Embu,OPV1,2022,Vaccination,Proportion (2022),100
Embu,OPV1,2022,Vaccination,Percentage change,0
Embu,OPV2,2022,Vaccination,Proportion (2022),98.1
Embu,OPV2,2022,Vaccination,Percentage change,-1.9
Embu,OPV3,2022,Vaccination,Proportion (2022),88.9
Embu,OPV3,2022,Vaccination,Percentage change,-4.3
Embu,FULL_VACCINATION,2022,Vaccination,Proportion (2022),75.6
Embu,FULL_VACCINATION,2022,Vaccination,Percentage change,-13.1
Kitui,BCG,2022,Vaccination,Proportion (2022),86.6
Kitui,BCG,2022,Vaccination,Percentage change,-11
Kitui,DPT1,2022,Vaccination,Proportion (2022),91
Kitui,DPT1,2022,Vaccination,Percentage change,-5.6
Kitui,DPT2,2022,Vaccination,Proportion (2022),86.7
Kitui,DPT2,2022,Vaccination,Percentage change,-7.4
Kitui,DPT3,2022,Vaccination,Proportion (2022),83.9
Kitui,DPT3,2022,Vaccination,Percentage change,2.9
Kitui,OPV,2022,Vaccination,Proportion (2022),73.5
Kitui,OPV,2022,Vaccination,Percentage change,41.9
Kitui,OPV1,2022,Vaccination,Proportion (2022),90.8
Kitui,OPV1,2022,Vaccination,Percentage change,-7.6
Kitui,OPV2,2022,Vaccination,Proportion (2022),90.8
Kitui,OPV2,2022,Vaccination,Percentage change,-2.5
Kitui,OPV3,2022,Vaccination,Proportion (2022),78.7
Kitui,OPV3,2022,Vaccination,Percentage change,-4.1
Kitui,FULL_VACCINATION,2022,Vaccination,Proportion (2022),49.4
Kitui,FULL_VACCINATION,2022,Vaccination,Percentage change,-15
Machakos,BCG,2022,Vaccination,Proportion (2022),95.2
Machakos,BCG,2022,Vaccination,Percentage change,-5
Machakos,DPT1,2022,Vaccination,Proportion (2022),97.6
Machakos,DPT1,2022,Vaccination,Percentage change,-2.5
Machakos,DPT2,2022,Vaccination,Proportion (2022),93.8
Machakos,DPT2,2022,Vaccination,Percentage change,-6.6
Machakos,DPT3,2022,Vaccination,Proportion (2022),92.3
Machakos,DPT3,2022,Vaccination,Percentage change,-6
Machakos,OPV,2022,Vaccination,Proportion (2022),90.9
Machakos,OPV,2022,Vaccination,Percentage change,5.4
Machakos,OPV1,2022,Vaccination,Proportion (2022),97.6
Machakos,OPV1,2022,Vaccination,Percentage change,-0.8
Machakos,OPV2,2022,Vaccination,Proportion (2022),97.6
Machakos,OPV2,2022,Vaccination,Percentage change,-0.8
Machakos,OPV3,2022,Vaccination,Proportion (2022),91.3
Machakos,OPV3,2022,Vaccination,Percentage change,-5.4
Machakos,FULL_VACCINATION,2022,Vaccination,Proportion (2022),70.8
Machakos,FULL_VACCINATION,2022,Vaccination,Percentage change,-27.1
Makueni,BCG,2022,Vaccination,Proportion (2022),97.8
Makueni,BCG,2022,Vaccination,Percentage change,-2.2
Makueni,DPT1,2022,Vaccination,Proportion (2022),97.8
Makueni,DPT1,2022,Vaccination,Percentage change,-2.2
Makueni,DPT2,2022,Vaccination,Proportion (2022),89.6
Makueni,DPT2,2022,Vaccination,Percentage change,-11.6
Makueni,DPT3,2022,Vaccination,Proportion (2022),85.5
Makueni,DPT3,2022,Vaccination,Percentage change,-15.9
Makueni,OPV,2022,Vaccination,Proportion (2022),95.5
Makueni,OPV,2022,Vaccination,Percentage change,20.8
Makueni,OPV1,2022,Vaccination,Proportion (2022),97.8
Makueni,OPV1,2022,Vaccination,Percentage change,-2.2
Makueni,OPV2,2022,Vaccination,Proportion (2022),96.2
Makueni,OPV2,2022,Vaccination,Percentage change,0
Makueni,OPV3,2022,Vaccination,Proportion (2022),84.9
Makueni,OPV3,2022,Vaccination,Percentage change,-12.2
Makueni,FULL_VACCINATION,2022,Vaccination,Proportion (2022),65.5
Makueni,FULL_VACCINATION,2022,Vaccination,Percentage change,-36.9
Nyandarua,BCG,2022,Vaccination,Proportion (2022),100
Nyandarua,BCG,2022,Vaccination,Percentage change,0
Nyandarua,DPT1,2022,Vaccination,Proportion (2022),100
Nyandarua,DPT1,2022,Vaccination,Percentage change,0
Nyandarua,DPT2,2022,Vaccination,Proportion (2022),100
Nyandarua,DPT2,2022,Vaccination,Percentage change,1.9
Nyandarua,DPT3,2022,Vaccination,Proportion (2022),98
Nyandarua,DPT3,2022,Vaccination,Percentage change,7.3
Nyandarua,OPV,2022,Vaccination,Proportion (2022),98.4
Nyandarua,OPV,2022,Vaccination,Percentage change,13.7
Nyandarua,OPV1,2022,Vaccination,Proportion (2022),99.2
Nyandarua,OPV1,2022,Vaccination,Percentage change,-0.8
Nyandarua,OPV2,2022,Vaccination,Proportion (2022),95.7
Nyandarua,OPV2,2022,Vaccination,Percentage change,-2.5
Nyandarua,OPV3,2022,Vaccination,Proportion (2022),83.1
Nyandarua,OPV3,2022,Vaccination,Percentage change,-13.8
Nyandarua,FULL_VACCINATION,2022,Vaccination,Proportion (2022),70.6
Nyandarua,FULL_VACCINATION,2022,Vaccination,Percentage change,-15.3
Nyeri,BCG,2022,Vaccination,Proportion (2022),91.5
Nyeri,BCG,2022,Vaccination,Percentage change,-7.9
Nyeri,DPT1,2022,Vaccination,Proportion (2022),94.7
Nyeri,DPT1,2022,Vaccination,Percentage change,-2.6
Nyeri,DPT2,2022,Vaccination,Proportion (2022),92.9
Nyeri,DPT2,2022,Vaccination,Percentage change,-4.6
Nyeri,DPT3,2022,Vaccination,Proportion (2022),85.9
Nyeri,DPT3,2022,Vaccination,Percentage change,-10.5
Nyeri,OPV,2022,Vaccination,Proportion (2022),88.4
Nyeri,OPV,2022,Vaccination,Percentage change,4.5
Nyeri,OPV1,2022,Vaccination,Proportion (2022),92.9
Nyeri,OPV1,2022,Vaccination,Percentage change,-7.6
Nyeri,OPV2,2022,Vaccination,Proportion (2022),92.9
Nyeri,OPV2,2022,Vaccination,Percentage change,-7.6
Nyeri,OPV3,2022,Vaccination,Proportion (2022),82
Nyeri,OPV3,2022,Vaccination,Percentage change,-16
Nyeri,FULL_VACCINATION,2022,Vaccination,Proportion (2022),56.6
Nyeri,FULL_VACCINATION,2022,Vaccination,Percentage change,-48.9
Kirinyaga,BCG,2022,Vaccination,Proportion (2022),98.1
Kirinyaga,BCG,2022,Vaccination,Percentage change,-1.9
Kirinyaga,DPT1,2022,Vaccination,Proportion (2022),100
Kirinyaga,DPT1,2022,Vaccination,Percentage change,0
Kirinyaga,DPT2,2022,Vaccination,Proportion (2022),98.2
Kirinyaga,DPT2,2022,Vaccination,Percentage change,-1.8
Kirinyaga,DPT3,2022,Vaccination,Proportion (2022),92.1
Kirinyaga,DPT3,2022,Vaccination,Percentage change,-8.6
Kirinyaga,OPV,2022,Vaccination,Proportion (2022),95.1
Kirinyaga,OPV,2022,Vaccination,Percentage change,36.6
Kirinyaga,OPV1,2022,Vaccination,Proportion (2022),100
Kirinyaga,OPV1,2022,Vaccination,Percentage change,0
Kirinyaga,OPV2,2022,Vaccination,Proportion (2022),98
Kirinyaga,OPV2,2022,Vaccination,Percentage change,-2
Kirinyaga,OPV3,2022,Vaccination,Proportion (2022),81.8
Kirinyaga,OPV3,2022,Vaccination,Percentage change,-22.2
Kirinyaga,FULL_VACCINATION,2022,Vaccination,Proportion (2022),70.9
Kirinyaga,FULL_VACCINATION,2022,Vaccination,Percentage change,-30.2
Muranga,BCG,2022,Vaccination,Proportion (2022),96.7
Muranga,BCG,2022,Vaccination,Percentage change,-2.4
Muranga,DPT1,2022,Vaccination,Proportion (2022),96.7
Muranga,DPT1,2022,Vaccination,Percentage change,-2.4
Muranga,DPT2,2022,Vaccination,Proportion (2022),96.7
Muranga,DPT2,2022,Vaccination,Percentage change,1
Muranga,DPT3,2022,Vaccination,Proportion (2022),96.7
Muranga,DPT3,2022,Vaccination,Percentage change,7
Muranga,OPV,2022,Vaccination,Proportion (2022),96.7
Muranga,OPV,2022,Vaccination,Percentage change,19.3
Muranga,OPV1,2022,Vaccination,Proportion (2022),96.7
Muranga,OPV1,2022,Vaccination,Percentage change,-2.4
Muranga,OPV2,2022,Vaccination,Proportion (2022),96.7
Muranga,OPV2,2022,Vaccination,Percentage change,1
Muranga,OPV3,2022,Vaccination,Proportion (2022),74.7
Muranga,OPV3,2022,Vaccination,Percentage change,-20.3
Muranga,FULL_VACCINATION,2022,Vaccination,Proportion (2022),66.2
Muranga,FULL_VACCINATION,2022,Vaccination,Percentage change,-30.5
Kiambu,BCG,2022,Vaccination,Proportion (2022),100
Kiambu,BCG,2022,Vaccination,Percentage change,0
Kiambu,DPT1,2022,Vaccination,Proportion (2022),100
Kiambu,DPT1,2022,Vaccination,Percentage change,0
Kiambu,DPT2,2022,Vaccination,Proportion (2022),100
Kiambu,DPT2,2022,Vaccination,Percentage change,0
Kiambu,DPT3,2022,Vaccination,Proportion (2022),91.8
Kiambu,DPT3,2022,Vaccination,Percentage change,-7.8
Kiambu,OPV,2022,Vaccination,Proportion (2022),95.4
Kiambu,OPV,2022,Vaccination,Percentage change,14.3
Kiambu,OPV1,2022,Vaccination,Proportion (2022),98.2
Kiambu,OPV1,2022,Vaccination,Percentage change,-1.8
Kiambu,OPV2,2022,Vaccination,Proportion (2022),95.3
Kiambu,OPV2,2022,Vaccination,Percentage change,-4.9
Kiambu,OPV3,2022,Vaccination,Proportion (2022),80.4
Kiambu,OPV3,2022,Vaccination,Percentage change,-23.1
Kiambu,FULL_VACCINATION,2022,Vaccination,Proportion (2022),65.5
Kiambu,FULL_VACCINATION,2022,Vaccination,Percentage change,-48.4
Turkana,BCG,2022,Vaccination,Proportion (2022),96.7
Turkana,BCG,2022,Vaccination,Percentage change,2.3
Turkana,DPT1,2022,Vaccination,Proportion (2022),96.6
Turkana,DPT1,2022,Vaccination,Percentage change,2.3
Turkana,DPT2,2022,Vaccination,Proportion (2022),91.7
Turkana,DPT2,2022,Vaccination,Percentage change,0.2
Turkana,DPT3,2022,Vaccination,Proportion (2022),84.1
Turkana,DPT3,2022,Vaccination,Percentage change,-2.5
Turkana,OPV,2022,Vaccination,Proportion (2022),56.7
Turkana,OPV,2022,Vaccination,Percentage change,-12.3
Turkana,OPV1,2022,Vaccination,Proportion (2022),95.7
Turkana,OPV1,2022,Vaccination,Percentage change,1.4
Turkana,OPV2,2022,Vaccination,Proportion (2022),90.3
Turkana,OPV2,2022,Vaccination,Percentage change,-0.6
Turkana,OPV3,2022,Vaccination,Proportion (2022),73.3
Turkana,OPV3,2022,Vaccination,Percentage change,-14.5
Turkana,FULL_VACCINATION,2022,Vaccination,Proportion (2022),29.3
Turkana,FULL_VACCINATION,2022,Vaccination,Percentage change,-110.9
West Pokot,BCG,2022,Vaccination,Proportion (2022),97.3
West Pokot,BCG,2022,Vaccination,Percentage change,18.9
West Pokot,DPT1,2022,Vaccination,Proportion (2022),98.1
West Pokot,DPT1,2022,Vaccination,Percentage change,11.9
West Pokot,DPT2,2022,Vaccination,Proportion (2022),85.5
West Pokot,DPT2,2022,Vaccination,Percentage change,5.7
West Pokot,DPT3,2022,Vaccination,Proportion (2022),73.9
West Pokot,DPT3,2022,Vaccination,Percentage change,7.6
West Pokot,OPV,2022,Vaccination,Proportion (2022),45.2
West Pokot,OPV,2022,Vaccination,Percentage change,21.9
West Pokot,OPV1,2022,Vaccination,Proportion (2022),96.7
West Pokot,OPV1,2022,Vaccination,Percentage change,9.7
West Pokot,OPV2,2022,Vaccination,Proportion (2022),89.7
West Pokot,OPV2,2022,Vaccination,Percentage change,12.4
West Pokot,OPV3,2022,Vaccination,Proportion (2022),51.6
West Pokot,OPV3,2022,Vaccination,Percentage change,-17.2
West Pokot,FULL_VACCINATION,2022,Vaccination,Proportion (2022),10.7
West Pokot,FULL_VACCINATION,2022,Vaccination,Percentage change,-191.6
Samburu,BCG,2022,Vaccination,Proportion (2022),93.1
Samburu,BCG,2022,Vaccination,Percentage change,-4
Samburu,DPT1,2022,Vaccination,Proportion (2022),90.8
Samburu,DPT1,2022,Vaccination,Percentage change,-2.6
Samburu,DPT2,2022,Vaccination,Proportion (2022),89
Samburu,DPT2,2022,Vaccination,Percentage change,-0.8
Samburu,DPT3,2022,Vaccination,Proportion (2022),87.2
Samburu,DPT3,2022,Vaccination,Percentage change,0.3
Samburu,OPV,2022,Vaccination,Proportion (2022),59.3
Samburu,OPV,2022,Vaccination,Percentage change,18.4
Samburu,OPV1,2022,Vaccination,Proportion (2022),91.2
Samburu,OPV1,2022,Vaccination,Percentage change,-5.9
Samburu,OPV2,2022,Vaccination,Proportion (2022),85
Samburu,OPV2,2022,Vaccination,Percentage change,-8.9
Samburu,OPV3,2022,Vaccination,Proportion (2022),69.5
Samburu,OPV3,2022,Vaccination,Percentage change,-26.5
Samburu,FULL_VACCINATION,2022,Vaccination,Proportion (2022),27.8
Samburu,FULL_VACCINATION,2022,Vaccination,Percentage change,-130.6
Trans Nzoia,BCG,2022,Vaccination,Proportion (2022),98
Trans Nzoia,BCG,2022,Vaccination,Percentage change,-2
Trans Nzoia,DPT1,2022,Vaccination,Proportion (2022),100
Trans Nzoia,DPT1,2022,Vaccination,Percentage change,0
Trans Nzoia,DPT2,2022,Vaccination,Proportion (2022),98
Trans Nzoia,DPT2,2022,Vaccination,Percentage change,-0.1
Trans Nzoia,DPT3,2022,Vaccination,Proportion (2022),87.4
Trans Nzoia,DPT3,2022,Vaccination,Percentage change,11
Trans Nzoia,OPV,2022,Vaccination,Proportion (2022),87.5
Trans Nzoia,OPV,2022,Vaccination,Percentage change,35.1
Trans Nzoia,OPV1,2022,Vaccination,Proportion (2022),98.2
Trans Nzoia,OPV1,2022,Vaccination,Percentage change,-1.8
Trans Nzoia,OPV2,2022,Vaccination,Proportion (2022),96.5
Trans Nzoia,OPV2,2022,Vaccination,Percentage change,-1.9
Trans Nzoia,OPV3,2022,Vaccination,Proportion (2022),91.1
Trans Nzoia,OPV3,2022,Vaccination,Percentage change,1.4
Trans Nzoia,FULL_VACCINATION,2022,Vaccination,Proportion (2022),70.6
Trans Nzoia,FULL_VACCINATION,2022,Vaccination,Percentage change,9.5
Uasin Gishu,BCG,2022,Vaccination,Proportion (2022),98.6
Uasin Gishu,BCG,2022,Vaccination,Percentage change,2.7
Uasin Gishu,DPT1,2022,Vaccination,Proportion (2022),98.6
Uasin Gishu,DPT1,2022,Vaccination,Percentage change,1.3
Uasin Gishu,DPT2,2022,Vaccination,Proportion (2022),95.4
Uasin Gishu,DPT2,2022,Vaccination,Percentage change,-0.5
Uasin Gishu,DPT3,2022,Vaccination,Proportion (2022),94.6
Uasin Gishu,DPT3,2022,Vaccination,Percentage change,3.3
Uasin Gishu,OPV,2022,Vaccination,Proportion (2022),90.2
Uasin Gishu,OPV,2022,Vaccination,Percentage change,39.8
Uasin Gishu,OPV1,2022,Vaccination,Proportion (2022),98.6
Uasin Gishu,OPV1,2022,Vaccination,Percentage change,2.7
Uasin Gishu,OPV2,2022,Vaccination,Proportion (2022),94.6
Uasin Gishu,OPV2,2022,Vaccination,Percentage change,0
Uasin Gishu,OPV3,2022,Vaccination,Proportion (2022),78
Uasin Gishu,OPV3,2022,Vaccination,Percentage change,-15.6
Uasin Gishu,FULL_VACCINATION,2022,Vaccination,Proportion (2022),49.3
Uasin Gishu,FULL_VACCINATION,2022,Vaccination,Percentage change,-46.7
Elgeyo Marakwet,BCG,2022,Vaccination,Proportion (2022),97.6
Elgeyo Marakwet,BCG,2022,Vaccination,Percentage change,-2.5
Elgeyo Marakwet,DPT1,2022,Vaccination,Proportion (2022),94.9
Elgeyo Marakwet,DPT1,2022,Vaccination,Percentage change,-5.4
Elgeyo Marakwet,DPT2,2022,Vaccination,Proportion (2022),88.8
Elgeyo Marakwet,DPT2,2022,Vaccination,Percentage change,-10.2
Elgeyo Marakwet,DPT3,2022,Vaccination,Proportion (2022),83.4
Elgeyo Marakwet,DPT3,2022,Vaccination,Percentage change,-17.4
Elgeyo Marakwet,OPV,2022,Vaccination,Proportion (2022),79
Elgeyo Marakwet,OPV,2022,Vaccination,Percentage change,0.8
Elgeyo Marakwet,OPV1,2022,Vaccination,Proportion (2022),98.2
Elgeyo Marakwet,OPV1,2022,Vaccination,Percentage change,-1.2
Elgeyo Marakwet,OPV2,2022,Vaccination,Proportion (2022),91.9
Elgeyo Marakwet,OPV2,2022,Vaccination,Percentage change,-6.5
